data,Курс,Месяц,День недели,День месяца
2022-06-01,94.0696,6,2,1
2022-06-02,93.7092,6,3,2
2022-06-03,93.5701,6,4,3
2022-06-04,94.1664,6,5,4
2022-06-07,93.0979,6,1,7
2022-06-08,93.0036,6,2,8
2022-06-09,92.6609,6,3,9
2022-06-10,90.8111,6,4,10
2022-06-11,88.9792,6,5,11
2022-06-15,86.0514,6,2,15
2022-06-16,85.4161,6,3,16
2022-06-17,85.5449,6,4,17
2022-06-18,85.5776,6,5,18
2022-06-21,84.7402,6,1,21
2022-06-22,82.6992,6,2,22
2022-06-23,80.2259,6,3,23
2022-06-24,80.0483,6,4,24
2022-06-25,80.1826,6,5,25
2022-06-28,80.4837,6,1,28
2022-06-29,79.7616,6,2,29
2022-06-30,76.9846,6,3,30
2022-07-01,82.8897,7,4,1
2022-07-02,85.9418,7,5,2
2022-07-05,87.1399,7,1,5
2022-07-06,89.4609,7,2,6
2022-07-07,95.5793,7,3,7
2022-07-08,95.9366,7,4,8
2022-07-09,92.8268,7,5,9
2022-07-12,92.1024,7,1,12
2022-07-13,87.9476,7,2,13
2022-07-14,87.2451,7,3,14
2022-07-15,86.3954,7,4,15
2022-07-16,85.7233,7,5,16
2022-07-19,84.2641,7,1,19
2022-07-20,82.5787,7,2,20
2022-07-21,81.6011,7,3,21
2022-07-22,83.9854,7,4,22
2022-07-23,85.8282,7,5,23
2022-07-26,86.3099,7,1,26
2022-07-27,87.8717,7,2,27
2022-07-28,90.4128,7,3,28
2022-07-29,90.4549,7,4,29
2022-07-30,92.1636,7,5,30
2022-08-02,92.8229,8,1,2
2022-08-03,89.5175,8,2,3
2022-08-04,89.4465,8,3,4
2022-08-05,89.3362,8,4,5
2022-08-06,89.6876,8,5,6
2022-08-09,89.613,8,1,9
2022-08-10,89.5342,8,2,10
2022-08-11,89.5251,8,3,11
2022-08-12,90.0583,8,4,12
2022-08-13,90.3978,8,5,13
2022-08-16,90.4515,8,1,16
2022-08-17,90.1556,8,2,17
2022-08-18,89.5099,8,3,18
2022-08-19,88.274,8,4,19
2022-08-20,86.583,8,5,20
2022-08-23,87.1277,8,1,23
2022-08-24,87.1738,8,2,24
2022-08-25,87.3526,8,3,25
2022-08-26,87.1936,8,4,26
2022-08-27,87.4478,8,5,27
2022-08-30,87.2167,8,1,30
2022-08-31,87.383,8,2,31
2022-09-01,87.2611,9,3,1
2022-09-02,87.2835,9,4,2
2022-09-03,87.4365,9,5,3
2022-09-06,87.8418,9,1,6
2022-09-07,87.4706,9,2,7
2022-09-08,87.565,9,3,8
2022-09-09,87.3741,9,4,9
2022-09-10,87.3512,9,5,10
2022-09-13,87.2525,9,1,13
2022-09-14,86.6164,9,2,14
2022-09-15,85.6771,9,3,15
2022-09-16,85.4232,9,4,16
2022-09-17,85.4611,9,5,17
2022-09-20,85.5472,9,1,20
2022-09-21,85.4169,9,2,21
2022-09-22,86.0242,9,3,22
2022-09-23,84.3825,9,4,23
2022-09-24,81.5329,9,5,24
2022-09-27,80.9047,9,1,27
2022-09-28,81.0556,9,2,28
2022-09-29,80.72,9,3,29
2022-09-30,79.8495,9,4,30
2022-10-01,81.5532,10,5,1
2022-10-04,81.3315,10,1,4
2022-10-05,81.823,10,2,5
2022-10-06,83.637,10,3,6
2022-10-07,85.9078,10,4,7
2022-10-08,85.9359,10,5,8
2022-10-11,86.1548,10,1,11
2022-10-12,87.5241,10,2,12
2022-10-13,86.698,10,3,13
2022-10-14,87.0486,10,4,14
2022-10-15,86.9152,10,5,15
2022-10-18,85.2304,10,1,18
2022-10-19,85.0975,10,2,19
2022-10-20,84.5711,10,3,20
2022-10-21,84.5185,10,4,21
2022-10-22,83.732,10,5,22
2022-10-25,83.2169,10,1,25
2022-10-26,83.2416,10,2,26
2022-10-27,84.7845,10,3,27
2022-10-28,84.3967,10,4,28
2022-10-29,84.3159,10,5,29
2022-11-01,83.9469,11,1,1
2022-11-02,84.0548,11,2,2
2022-11-03,84.2847,11,3,3
2022-11-04,84.3037,11,4,4
2022-11-08,84.3154,11,1,8
2022-11-09,83.6997,11,2,9
2022-11-10,83.9724,11,3,10
2022-11-11,84.0456,11,4,11
2022-11-12,84.4637,11,5,12
2022-11-15,85.4248,11,1,15
2022-11-16,85.3691,11,2,16
2022-11-17,85.0026,11,3,17
2022-11-18,84.4679,11,4,18
2022-11-19,84.7201,11,5,19
