data,Курс,Месяц,День недели,День месяца
2022-06-01,62.7397,6,2,1
2022-06-02,63.6629,6,3,2
2022-06-03,64.9053,6,4,3
2022-06-04,65.9191,6,5,4
2022-06-07,64.8669,6,1,7
2022-06-08,64.5699,6,2,8
2022-06-09,63.938,6,3,9
2022-06-10,62.0934,6,4,10
2022-06-11,60.9656,6,5,11
2022-06-15,59.2481,6,2,15
2022-06-16,59.1204,6,3,16
2022-06-17,58.9568,6,4,17
2022-06-18,59.3299,6,5,18
2022-06-21,58.8003,6,1,21
2022-06-22,57.4566,6,2,22
2022-06-23,55.8307,6,3,23
2022-06-24,55.9886,6,4,24
2022-06-25,55.964,6,5,25
2022-06-28,56.0535,6,1,28
2022-06-29,55.8886,6,2,29
2022-06-30,53.858,6,3,30
2022-07-01,54.6405,7,4,1
2022-07-02,56.3584,7,5,2
2022-07-05,57.1836,7,1,5
2022-07-06,60.1618,7,2,6
2022-07-07,64.326,7,3,7
2022-07-08,64.1349,7,4,8
2022-07-09,62.0499,7,5,9
2022-07-12,61.8056,7,1,12
2022-07-13,58.7643,7,2,13
2022-07-14,58.9002,7,3,14
2022-07-15,58.3432,7,4,15
2022-07-16,57.8851,7,5,16
2022-07-19,57.1526,7,1,19
2022-07-20,56.4463,7,2,20
2022-07-21,55.826,7,3,21
2022-07-22,57.1133,7,4,22
2022-07-23,57.7608,7,5,23
2022-07-26,58.6741,7,1,26
2022-07-27,59.4068,7,2,27
2022-07-28,61.0032,7,3,28
2022-07-29,61.2171,7,4,29
2022-07-30,62.5695,7,5,30
2022-08-02,63.2468,8,1,2
2022-08-03,61.2656,8,2,3
2022-08-04,61.1243,8,3,4
2022-08-05,61.0872,8,4,5
2022-08-06,61.361,8,5,6
2022-08-09,61.1615,8,1,9
2022-08-10,61.5542,8,2,10
2022-08-11,61.704,8,3,11
2022-08-12,62.5156,8,4,12
2022-08-13,62.5355,8,5,13
2022-08-16,62.5056,8,1,16
2022-08-17,62.3551,8,2,17
2022-08-18,61.8322,8,3,18
2022-08-19,60.8957,8,4,19
2022-08-20,59.3934,8,5,20
2022-08-23,59.5344,8,1,23
2022-08-24,59.3304,8,2,24
2022-08-25,59.5082,8,3,25
2022-08-26,59.5983,8,4,26
2022-08-27,59.8784,8,5,27
2022-08-30,59.9608,8,1,30
2022-08-31,60.5752,8,2,31
2022-09-01,60.2141,9,3,1
2022-09-02,60.2842,9,4,2
2022-09-03,60.2187,9,5,3
2022-09-06,60.1408,9,1,6
2022-09-07,60.4929,9,2,7
2022-09-08,60.5458,9,3,8
2022-09-09,60.6952,9,4,9
2022-09-10,60.8571,9,5,10
2022-09-13,61.3127,9,1,13
2022-09-14,60.9364,9,2,14
2022-09-15,59.8368,9,3,15
2022-09-16,59.6196,9,4,16
2022-09-17,59.874,9,5,17
2022-09-20,60.0426,9,1,20
2022-09-21,60.0507,9,2,21
2022-09-22,60.211,9,3,22
2022-09-23,58.9388,9,4,23
2022-09-24,56.4751,9,5,24
2022-09-27,55.9278,9,1,27
2022-09-28,55.9953,9,2,28
2022-09-29,55.7232,9,3,29
2022-09-30,55.4064,9,4,30
2022-10-01,52.7379,10,5,1
2022-10-04,54.3947,10,1,4
2022-10-05,56.1725,10,2,5
2022-10-06,58.0613,10,3,6
2022-10-07,58.2392,10,4,7
2022-10-08,59.9756,10,5,8
2022-10-11,60.8019,10,1,11
2022-10-12,62.3481,10,2,12
2022-10-13,62.5867,10,3,13
2022-10-14,62.5903,10,4,14
2022-10-15,62.4695,10,5,15
2022-10-18,60.5608,10,1,18
2022-10-19,60.53,10,2,19
2022-10-20,60.1086,10,3,20
2022-10-21,60.4371,10,4,21
2022-10-22,59.8378,10,5,22
2022-10-25,60.1575,10,1,25
2022-10-26,60.4648,10,2,26
2022-10-27,61.5682,10,3,27
2022-10-28,61.5718,10,4,28
2022-10-29,61.1328,10,5,29
2022-11-01,61.1196,11,1,1
2022-11-02,60.9668,11,2,2
2022-11-03,60.9216,11,3,3
2022-11-04,60.6071,11,4,4
2022-11-08,60.9013,11,1,8
2022-11-09,60.8231,11,2,9
2022-11-10,61.2445,11,3,10
2022-11-11,61.0037,11,4,11
2022-11-12,61.5416,11,5,12
2022-11-15,62.1554,11,1,15
2022-11-16,62.6297,11,2,16
2022-11-17,62.6675,11,3,17
2022-11-18,62.5712,11,4,18
2022-11-19,62.4484,11,5,19
