data,Курс,Месяц,День недели,День месяца
2022-06-01,77.9204,6,2,1
2022-06-02,77.4625,6,3,2
2022-06-03,77.5907,6,4,3
2022-06-04,78.0832,6,5,4
2022-06-07,76.3623,6,1,7
2022-06-08,76.5431,6,2,8
2022-06-09,75.7671,6,3,9
2022-06-10,73.273,6,4,10
2022-06-11,72.4536,6,5,11
2022-06-15,69.259,6,2,15
2022-06-16,68.0005,6,3,16
2022-06-17,68.6183,6,4,17
2022-06-18,69.606,6,5,18
2022-06-21,68.4296,6,1,21
2022-06-22,67.0448,6,2,22
2022-06-23,65.437,6,3,23
2022-06-24,65.3846,6,4,24
2022-06-25,65.2785,6,5,25
2022-06-28,65.5738,6,1,28
2022-06-29,65.1689,6,2,29
2022-06-30,62.4179,6,3,30
2022-07-01,63.6502,7,4,1
2022-07-02,65.29,7,5,2
2022-07-05,66.8907,7,1,5
2022-07-06,70.8987,7,2,6
2022-07-07,74.9647,7,3,7
2022-07-08,75.2156,7,4,8
2022-07-09,73.5258,7,5,9
2022-07-12,73.7187,7,1,12
2022-07-13,69.9481,7,2,13
2022-07-14,69.5831,7,3,14
2022-07-15,69.6402,7,4,15
2022-07-16,68.1554,7,5,16
2022-07-19,67.0538,7,1,19
2022-07-20,66.6685,7,2,20
2022-07-21,65.967,7,3,21
2022-07-22,67.7627,7,4,22
2022-07-23,68.5659,7,5,23
2022-07-26,69.5696,7,1,26
2022-07-27,70.6566,7,2,27
2022-07-28,72.5287,7,3,28
2022-07-29,72.4303,7,4,29
2022-07-30,74.2711,7,5,30
2022-08-02,75.4659,8,1,2
2022-08-03,73.8939,8,2,3
2022-08-04,73.5981,8,3,4
2022-08-05,72.9845,8,4,5
2022-08-06,73.1136,8,5,6
2022-08-09,72.7416,8,1,9
2022-08-10,73.1762,8,2,10
2022-08-11,73.077,8,3,11
2022-08-12,74.3176,8,4,12
2022-08-13,74.4555,8,5,13
2022-08-16,74.3739,8,1,16
2022-08-17,74.201,8,2,17
2022-08-18,73.4834,8,3,18
2022-08-19,72.2122,8,4,19
2022-08-20,70.9763,8,5,20
2022-08-23,70.5253,8,1,23
2022-08-24,70.6177,8,2,24
2022-08-25,71.1089,8,3,25
2022-08-26,70.6361,8,4,26
2022-08-27,71.0653,8,5,27
2022-08-30,71.386,8,1,30
2022-08-31,71.1856,8,2,31
2022-09-01,70.0635,9,3,1
2022-09-02,70.1038,9,4,2
2022-09-03,69.584,9,5,3
2022-09-06,70.1971,9,1,6
2022-09-07,70.0252,9,2,7
2022-09-08,70.536,9,3,8
2022-09-09,69.7205,9,4,9
2022-09-10,69.4856,9,5,10
2022-09-13,70.0271,9,1,13
2022-09-14,70.3031,9,2,14
2022-09-15,68.9864,9,3,15
2022-09-16,69.0936,9,4,16
2022-09-17,68.9763,9,5,17
2022-09-20,69.131,9,1,20
2022-09-21,68.6041,9,2,21
2022-09-22,69.4814,9,3,22
2022-09-23,67.8074,9,4,23
2022-09-24,65.4503,9,5,24
2022-09-27,63.2015,9,1,27
2022-09-28,62.754,9,2,28
2022-09-29,62.9724,9,3,29
2022-09-30,61.6903,9,4,30
2022-10-01,61.0166,10,5,1
2022-10-04,64.3017,10,1,4
2022-10-05,66.3166,10,2,5
2022-10-06,67.7447,10,3,6
2022-10-07,67.7549,10,4,7
2022-10-08,68.5911,10,5,8
2022-10-11,69.2729,10,1,11
2022-10-12,70.3581,10,2,12
2022-10-13,70.6607,10,3,13
2022-10-14,70.298,10,4,14
2022-10-15,70.8558,10,5,15
2022-10-18,69.49,10,1,18
2022-10-19,70.5514,10,2,19
2022-10-20,69.7328,10,3,20
2022-10-21,69.251,10,4,21
2022-10-22,69.2675,10,5,22
2022-10-25,68.0498,10,1,25
2022-10-26,69.3917,10,2,26
2022-10-27,70.3839,10,3,27
2022-10-28,71.1763,10,4,28
2022-10-29,71.2629,10,5,29
2022-11-01,71.4333,11,1,1
2022-11-02,70.7276,11,2,2
2022-11-03,70.6137,11,3,3
2022-11-04,71.1801,11,4,4
2022-11-08,69.0566,11,1,8
2022-11-09,69.9167,11,2,9
2022-11-10,70.6111,11,3,10
2022-11-11,69.6582,11,4,11
2022-11-12,70.3225,11,5,12
2022-11-15,71.1128,11,1,15
2022-11-16,70.7395,11,2,16
2022-11-17,71.7844,11,3,17
2022-11-18,71.797,11,4,18
2022-11-19,71.1086,11,5,19
