data,Курс,Месяц,День недели,День месяца
2022-06-01,48.0553,6,2,1
2022-06-02,47.6833,6,3,2
2022-06-03,47.3508,6,4,3
2022-06-04,47.7322,6,5,4
2022-06-07,46.7376,6,1,7
2022-06-08,46.0988,6,2,8
2022-06-09,45.3184,6,3,9
2022-06-10,43.4316,6,4,10
2022-06-11,43.0537,6,5,11
2022-06-15,42.5683,6,2,15
2022-06-16,41.9753,6,3,16
2022-06-17,42.3574,6,4,17
2022-06-18,42.5752,6,5,18
2022-06-21,41.5325,6,1,21
2022-06-22,40.4676,6,2,22
2022-06-23,39.0407,6,3,23
2022-06-24,39.4658,6,4,24
2022-06-25,39.4433,6,5,25
2022-06-28,39.6464,6,1,28
2022-06-29,39.1066,6,2,29
2022-06-30,37.5858,6,3,30
2022-07-01,38.4339,7,4,1
2022-07-02,39.5408,7,5,2
2022-07-05,40.8224,7,1,5
2022-07-06,42.9823,7,2,6
2022-07-07,46.3672,7,3,7
2022-07-08,46.5311,7,4,8
2022-07-09,45.0422,7,5,9
2022-07-12,44.9282,7,1,12
2022-07-13,42.9122,7,2,13
2022-07-14,42.6868,7,3,14
2022-07-15,42.2151,7,4,15
2022-07-16,41.6359,7,5,16
2022-07-19,40.7211,7,1,19
2022-07-20,40.1078,7,2,20
2022-07-21,39.7026,7,3,21
2022-07-22,40.7933,7,4,22
2022-07-23,41.7941,7,5,23
2022-07-26,42.3002,7,1,26
2022-07-27,42.9905,7,2,27
2022-07-28,43.9593,7,3,28
2022-07-29,44.496,7,4,29
2022-07-30,46.0978,7,5,30
2022-08-02,46.8306,8,1,2
2022-08-03,45.9759,8,2,3
2022-08-04,45.0373,8,3,4
2022-08-05,45.0965,8,4,5
2022-08-06,45.3873,8,5,6
2022-08-09,44.5468,8,1,9
2022-08-10,44.7734,8,2,10
2022-08-11,44.7146,8,3,11
2022-08-12,44.8394,8,4,12
2022-08-13,45.6688,8,5,13
2022-08-16,46.1464,8,1,16
2022-08-17,46.125,8,2,17
2022-08-18,45.2351,8,3,18
2022-08-19,44.4521,8,4,19
2022-08-20,43.3902,8,5,20
2022-08-23,43.5437,8,1,23
2022-08-24,43.6308,8,2,24
2022-08-25,43.8257,8,3,25
2022-08-26,43.6468,8,4,26
2022-08-27,43.9529,8,5,27
2022-08-30,43.4271,8,1,30
2022-08-31,43.5868,8,2,31
2022-09-01,43.4591,9,3,1
2022-09-02,43.1806,9,4,2
2022-09-03,43.107,9,5,3
2022-09-06,43.4093,9,1,6
2022-09-07,43.1591,9,2,7
2022-09-08,42.4517,9,3,8
2022-09-09,42.106,9,4,9
2022-09-10,42.0629,9,5,10
2022-09-13,42.3367,9,1,13
2022-09-14,42.1291,9,2,14
2022-09-15,41.3812,9,3,15
2022-09-16,41.6519,9,4,16
2022-09-17,41.9743,9,5,17
2022-09-20,42.0684,9,1,20
2022-09-21,41.9017,9,2,21
2022-09-22,42.358,9,3,22
2022-09-23,41.4204,9,4,23
2022-09-24,40.2219,9,5,24
2022-09-27,40.2771,9,1,27
2022-09-28,40.2739,9,2,28
2022-09-29,40.4041,9,3,29
2022-09-30,39.7735,9,4,30
2022-10-01,38.2055,10,5,1
2022-10-04,39.7421,10,1,4
2022-10-05,40.6298,10,2,5
2022-10-06,41.273,10,3,6
2022-10-07,41.6748,10,4,7
2022-10-08,42.2338,10,5,8
2022-10-11,42.9683,10,1,11
2022-10-12,43.7,10,2,12
2022-10-13,43.6147,10,3,13
2022-10-14,43.2358,10,4,14
2022-10-15,42.7874,10,5,15
2022-10-18,41.5691,10,1,18
2022-10-19,41.4394,10,2,19
2022-10-20,41.286,10,3,20
2022-10-21,41.0203,10,4,21
2022-10-22,40.6941,10,5,22
2022-10-25,41.8924,10,1,25
2022-10-26,41.1628,10,2,26
2022-10-27,41.4604,10,3,27
2022-10-28,41.995,10,4,28
2022-10-29,41.9743,10,5,29
2022-11-01,41.5697,11,1,1
2022-11-02,41.3014,11,2,2
2022-11-03,41.7633,11,3,3
2022-11-04,42.0872,11,4,4
2022-11-08,41.652,11,1,8
2022-11-09,41.6228,11,2,9
2022-11-10,41.903,11,3,10
2022-11-11,41.8529,11,4,11
2022-11-12,42.273,11,5,12
2022-11-15,43.2652,11,1,15
2022-11-16,42.9631,11,2,16
2022-11-17,43.2512,11,3,17
2022-11-18,43.3085,11,4,18
2022-11-19,43.0567,11,5,19
